,pmid,title,authorString,journalTitle,citedByCount,pubYear,firstAuthor
19,24919153,Single-cell RNA-seq reveals dynamic paracrine control of cellular variation.,"Shalek AK, Satija R, Shuga J, Trombetta JJ, Gennert D, Lu D, Chen P, Gertner RS, Gaublomme JT, Yosef N, Schwartz S, Fowler B, Weaver S, Wang J, Wang X, Ding R, Raychowdhury R, Friedman N, Hacohen N, Park H, May AP, Regev A.",Nature,344,2014,Shalek AK
20,24408435,"Single-cell RNA-seq reveals dynamic, random monoallelic gene expression in mammalian cells.","Deng Q, Ramsköld D, Reinius B, Sandberg R.",Science,343,2014,Deng Q
21,23892778,Genetic programs in human and mouse early embryos revealed by single-cell RNA sequencing.,"Xue Z, Huang K, Cai C, Cai L, Jiang CY, Feng Y, Liu Z, Zeng Q, Cheng L, Sun YE, Liu JY, Horvath S, Fan G.",Nature,334,2013,Xue Z
22,28602351,A Unique Microglia Type Associated with Restricting Development of Alzheimer's Disease.,"Keren-Shaul H, Spinrad A, Weiner A, Matcovitch-Natan O, Dvir-Szternfeld R, Ulland TK, David E, Baruch K, Lara-Astaiso D, Toth B, Itzkovitz S, Colonna M, Schwartz M, Amit I.",Cell,322,2017,Keren-Shaul H
23,24363023,Quantitative single-cell RNA-seq with unique molecular identifiers.,"Islam S, Zeisel A, Joost S, La Manno G, Zajac P, Kasper M, Lönnerberg P, Linnarsson S.",Nat Methods,327,2014,Islam S
24,26727548,Adult mouse cortical cell taxonomy revealed by single cell transcriptomics.,"Tasic B, Menon V, Nguyen TN, Kim TK, Jarsky T, Yao Z, Levi B, Gray LT, Sorensen SA, Dolbeare T, Bertagnolli D, Goldy J, Shapovalova N, Parry S, Lee C, Smith K, Bernard A, Madisen L, Sunkin SM, Hawrylycz M, Koch C, Zeng H.",Nat Neurosci,320,2016,Tasic B
25,21543516,Characterization of the single-cell transcriptional landscape by highly multiplex RNA-seq.,"Islam S, Kjällquist U, Moliner A, Zajac P, Fan JB, Lönnerberg P, Linnarsson S.",Genome Res,324,2011,Islam S
26,29608179,"Integrating single-cell transcriptomic data across different conditions, technologies, and species.","Butler A, Hoffman P, Smibert P, Papalexi E, Satija R.",Nat Biotechnol,283,2018,Butler A
27,23223451,Germline DNA demethylation dynamics and imprint erasure through 5-hydroxymethylcytosine.,"Hackett JA, Sengupta R, Zylicz JJ, Murakami K, Lee C, Down TA, Surani MA.",Science,322,2013,Hackett JA
28,26083756,Single-cell chromatin accessibility reveals principles of regulatory variation.,"Buenrostro JD, Wu B, Litzenburger UM, Ruff D, Gonzales ML, Snyder MP, Chang HY, Greenleaf WJ.",Nature,305,2015,Buenrostro JD
29,25215486,Resetting transcription factor control circuitry toward ground-state pluripotency in human.,"Takashima Y, Guo G, Loos R, Nichols J, Ficz G, Krueger F, Oxley D, Santos F, Clarke J, Mansfield W, Reik W, Bertone P, Smith A.",Cell,299,2014,Takashima Y
30,24056876,Accounting for technical noise in single-cell RNA-seq experiments.,"Brennecke P, Anders S, Kim JK, Kołodziejczyk AA, Zhang X, Proserpio V, Baying B, Benes V, Teichmann SA, Marioni JC, Heisler MG.",Nat Methods,300,2013,Brennecke P
31,24141493,Quantitative assessment of single-cell RNA-sequencing methods.,"Wu AR, Neff NF, Kalisky T, Dalerba P, Treutlein B, Rothenberg ME, Mburu FM, Mantalas GL, Sim S, Clarke MF, Quake SR.",Nat Methods,290,2014,Wu AR
32,25090446,Systematic identification of culture conditions for induction and maintenance of naive human pluripotency.,"Theunissen TW, Powell BE, Wang H, Mitalipova M, Faddah DA, Reddy J, Fan ZP, Maetzel D, Ganz K, Shi L, Lungjangwa T, Imsoonthornruksa S, Stelzer Y, Rangarajan S, D'Alessio A, Zhang J, Gao Q, Dawlaty MM, Young RA, Gray NS, Jaenisch R.",Cell Stem Cell,282,2014,Theunissen TW
33,24836921,Bayesian approach to single-cell differential expression analysis.,"Kharchenko PV, Silberstein L, Scadden DT.",Nat Methods,278,2014,Kharchenko PV
34,24766814,Single-cell trajectory detection uncovers progression and regulatory coordination in human B cell development.,"Bendall SC, Davis KL, Amir el-AD, Tadmor MD, Simonds EF, Chen TJ, Shenfeld DK, Nolan GP, Pe'er D.",Cell,280,2014,Bendall SC
35,25628217,Computational and analytical challenges in single-cell transcriptomics.,"Stegle O, Teichmann SA, Marioni JC.",Nat Rev Genet,278,2015,Stegle O
36,20452321,Tracing the derivation of embryonic stem cells from the inner cell mass by single-cell RNA-Seq analysis.,"Tang F, Barbacioru C, Bao S, Lee C, Nordman E, Wang X, Lao K, Surani MA.",Cell Stem Cell,267,2010,Tang F
37,26721685,Biogenesis and function of tRNA fragments during sperm maturation and fertilization in mammals.,"Sharma U, Conine CC, Shea JM, Boskovic A, Derr AG, Bing XY, Belleannee C, Kucukural A, Serra RW, Sun F, Song L, Carone BR, Ricci EP, Li XZ, Fauquier L, Moore MJ, Sullivan R, Mello CC, Garber M, Rando OJ.",Science,258,2016,Sharma U
38,28428369,"Single-cell RNA-seq reveals new types of human blood dendritic cells, monocytes, and progenitors.","Villani AC, Satija R, Reynolds G, Sarkizova S, Shekhar K, Fletcher J, Griesbeck M, Butler A, Zheng S, Lazo S, Jardine L, Dixon D, Stephenson E, Nilsson E, Grundberg I, McDonald D, Filby A, Li W, De Jager PL, Rozenblatt-Rosen O, Lane AA, Haniffa M, Regev A, Hacohen N.",Science,245,2017,Villani AC
39,20203668,RNA-Seq analysis to capture the transcriptome landscape of a single cell.,"Tang F, Barbacioru C, Nordman E, Li B, Xu N, Bashkirov VI, Lao K, Surani MA.",Nat Protoc,235,2010,Tang F
40,25105578,"Repair and regeneration of the respiratory system: complexity, plasticity, and mechanisms of lung stem cell function.","Hogan BL, Barkauskas CE, Chapman HA, Epstein JA, Jain R, Hsia CC, Niklason L, Calle E, Le A, Randell SH, Rock J, Snitow M, Krummel M, Stripp BR, Vu T, White ES, Whitsett JA, Morrisey EE.",Cell Stem Cell,225,2014,Hogan BL
41,26299571,Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis.,"Shin J, Berg DA, Zhu Y, Shin JY, Song J, Bonaguidi MA, Enikolopov G, Nauen DW, Christian KM, Ming GL, Song H.",Cell Stem Cell,217,2015,Shin J
42,26593421,RNA mis-splicing in disease.,"Scotti MM, Swanson MS.",Nat Rev Genet,207,2016,Scotti MM
43,26458175,Single-cell ChIP-seq reveals cell subpopulations defined by chromatin state.,"Rotem A, Ram O, Shoresh N, Sperling RA, Goren A, Weitz DA, Bernstein BE.",Nat Biotechnol,202,2015,Rotem A
44,25953818,Multiplex single cell profiling of chromatin accessibility by combinatorial cellular indexing.,"Cusanovich DA, Daza R, Adey A, Pliner HA, Christiansen L, Gunderson KL, Steemers FJ, Trapnell C, Shendure J.",Science,201,2015,Cusanovich DA
45,27565351,Comprehensive Classification of Retinal Bipolar Neurons by Single-Cell Transcriptomics.,"Shekhar K, Lapan SW, Whitney IE, Tran NM, Macosko EZ, Kowalczyk M, Adiconis X, Levin JZ, Nemesh J, Goldman M, McCarroll SA, Cepko CL, Regev A, Sanes JR.",Cell,194,2016,Shekhar K
46,26481351,"Expression Atlas update--an integrated database of gene and protein expression in humans, animals and plants.","Petryszak R, Keays M, Tang YA, Fonseca NA, Barrera E, Burdett T, Füllgrabe A, Fuentes AM, Jupp S, Koskinen S, Mannion O, Huerta L, Megy K, Snow C, Williams E, Barzine M, Hastings E, Weisser H, Wright J, Jaiswal P, Huber W, Choudhary J, Parkinson HE, Brazma A.",Nucleic Acids Res,203,2016,Petryszak R
47,27038591,Expression Analysis Highlights AXL as a Candidate Zika Virus Entry Receptor in Neural Stem Cells.,"Nowakowski TJ, Pollen AA, Di Lullo E, Sandoval-Espinosa C, Bershteyn M, Kriegstein AR.",Cell Stem Cell,195,2016,Nowakowski TJ
48,29790989,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update.","Afgan E, Baker D, Batut B, van den Beek M, Bouvier D, Cech M, Chilton J, Clements D, Coraor N, Grüning BA, Guerler A, Hillman-Jackson J, Hiltemann S, Jalili V, Rasche H, Soranzo N, Goecks J, Taylor J, Nekrutenko A, Blankenberg D.",Nucleic Acids Res,166,2018,Afgan E
49,25053837,Single-cell RNA-seq: advances and future challenges.,"Saliba AE, Westermann AJ, Gorski SA, Vogel J.",Nucleic Acids Res,187,2014,Saliba AE
50,27667667,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Type 2 Diabetes.,"Segerstolpe Å, Palasantza A, Eliasson P, Andersson EM, Andréasson AC, Sun X, Picelli S, Sabirsh A, Clausen M, Bjursell MK, Smith DM, Kasper M, Ämmälä C, Sandberg R.",Cell Metab,177,2016,Segerstolpe Å
51,24299736,From single-cell to cell-pool transcriptomes: stochasticity in gene expression and RNA splicing.,"Marinov GK, Williams BA, McCue K, Schroth GP, Gertz J, Myers RM, Wold BJ.",Genome Res,183,2014,Marinov GK
52,26248267,Toward understanding and exploiting tumor heterogeneity.,"Alizadeh AA, Aranda V, Bardelli A, Blanpain C, Bock C, Borowski C, Caldas C, Califano A, Doherty M, Elsner M, Esteller M, Fitzgerald R, Korbel JO, Lichter P, Mason CE, Navin N, Pe'er D, Polyak K, Roberts CW, Siu L, Snyder A, Stower H, Swanton C, Verhaak RG, Zenklusen JC, Zuber J, Zucman-Rossi J.",Nat Med,181,2015,Alizadeh AA
53,27135602,"Origin, fate and dynamics of macrophages at central nervous system interfaces.","Goldmann T, Wieghofer P, Jordão MJ, Prutek F, Hagemeyer N, Frenzel K, Amann L, Staszewski O, Kierdorf K, Krueger M, Locatelli G, Hochgerner H, Zeiser R, Epelman S, Geissmann F, Priller J, Rossi FM, Bechmann I, Kerschensteiner M, Linnarsson S, Jung S, Prinz M.",Nat Immunol,171,2016,Goldmann T
54,26653891,MAST: a flexible statistical framework for assessing transcriptional changes and characterizing heterogeneity in single-cell RNA sequencing data.,"Finak G, McDavid A, Yajima M, Deng J, Gersuk V, Shalek AK, Slichter CK, Miller HW, McElrath MJ, Prlic M, Linsley PS, Gottardo R.",Genome Biol,165,2015,Finak G
55,28346451,SC3: consensus clustering of single-cell RNA-seq data.,"Kiselev VY, Kirschner K, Schaub MT, Andrews T, Yiu A, Chandra T, Natarajan KN, Reik W, Barahona M, Green AR, Hemberg M.",Nat Methods,168,2017,Kiselev VY
56,28212749,Comparative Analysis of Single-Cell RNA Sequencing Methods.,"Ziegenhain C, Vieth B, Parekh S, Reinius B, Guillaumet-Adkins A, Smets M, Leonhardt H, Heyn H, Hellmann I, Enard W.",Mol Cell,160,2017,Ziegenhain C
57,26644564,Human cerebral organoids recapitulate gene expression programs of fetal neocortex development.,"Camp JG, Badsha F, Florio M, Kanton S, Gerber T, Wilsch-Bräuninger M, Lewitus E, Sykes A, Hevers W, Lancaster M, Knoblich JA, Lachmann R, Pääbo S, Huttner WB, Treutlein B.",Proc Natl Acad Sci U S A,161,2015,Camp JG
58,26406371,Molecular identity of human outer radial glia during cortical development.,"Pollen AA, Nowakowski TJ, Chen J, Retallack H, Sandoval-Espinosa C, Nicholas CR, Shuga J, Liu SJ, Oldham MC, Diaz A, Lim DA, Leyrat AA, West JA, Kriegstein AR.",Cell,163,2015,Pollen AA
59,25533958,Lineage-negative progenitors mobilize to regenerate lung epithelium after major injury.,"Vaughan AE, Brumwell AN, Xi Y, Gotts JE, Brownfield DG, Treutlein B, Tan K, Tan V, Liu FC, Looney MR, Matthay MA, Rock JR, Chapman HA.",Nature,160,2015,Vaughan AE
60,27984732,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens.,"Dixit A, Parnas O, Li B, Chen J, Fulco CP, Jerby-Arnon L, Marjanovic ND, Dionne D, Burks T, Raychowdhury R, Adamson B, Norman TM, Lander ES, Weissman JS, Friedman N, Regev A.",Cell,157,2016,Dixit A
61,26431181,Adult Mammalian Neural Stem Cells and Neurogenesis: Five Decades Later.,"Bond AM, Ming GL, Song H.",Cell Stem Cell,153,2015,Bond AM
62,28825705,Reversed graph embedding resolves complex single-cell trajectories.,"Qiu X, Mao Q, Tang Y, Wang L, Chawla R, Pliner HA, Trapnell C.",Nat Methods,159,2017,Qiu X
63,27806376,Single-cell RNA-seq supports a developmental hierarchy in human oligodendroglioma.,"Tirosh I, Venteicher AS, Hebert C, Escalante LE, Patel AP, Yizhak K, Fisher JM, Rodman C, Mount C, Filbin MG, Neftel C, Desai N, Nyman J, Izar B, Luo CC, Francis JM, Patel AA, Onozato ML, Riggi N, Livak KJ, Gennert D, Satija R, Nahed BV, Curry WT, Martuza RL, Mylvaganam R, Iafrate AJ, Frosch MP, Golub TR, Rivera MN, Getz G, Rozenblatt-Rosen O, Cahill DP, Monje M, Bernstein BE, Louis DN, Regev A, Suvà ML.",Nature,156,2016,Tirosh I
65,25471879,Deconstructing transcriptional heterogeneity in pluripotent stem cells.,"Kumar RM, Cahan P, Shalek AK, Satija R, DaleyKeyser A, Li H, Zhang J, Pardee K, Gennert D, Trombetta JJ, Ferrante TC, Regev A, Daley GQ, Collins JJ.",Nature,156,2014,Kumar RM
66,27227366,Pericytes of the neurovascular unit: key functions and signaling pathways.,"Sweeney MD, Ayyadurai S, Zlokovic BV.",Nat Neurosci,150,2016,Sweeney MD
67,24497842,Single cell genomics: advances and future perspectives.,"Macaulay IC, Voet T.",PLoS Genet,151,2014,Macaulay IC
68,27062923,Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos.,"Petropoulos S, Edsgärd D, Reinius B, Deng Q, Panula SP, Codeluppi S, Plaza Reyes A, Linnarsson S, Sandberg R, Lanner F.",Cell,151,2016,Petropoulos S
71,25083876,H3K4me3 breadth is linked to cell identity and transcriptional consistency.,"Benayoun BA, Pollina EA, Ucar D, Mahmoudi S, Karra K, Wong ED, Devarajan K, Daugherty AC, Kundaje AB, Mancini E, Hitz BC, Gupta R, Rando TA, Baker JC, Snyder MP, Cherry JM, Brunet A.",Cell,150,2014,Benayoun BA
